x,y,Truth,CPU,GPU
-1.49815,1.18665,2,2,2
2.06524,0.486404,1,1,1
-0.420423,0.207099,0,0,0
-2.72424,1.59113,2,2,2
2.5443,0.807832,1,1,1
-1.17724,0.279482,2,2,2
-0.13652,1.89044,0,2,2
0.0609054,2.06195,0,1,1
1.86208,0.316241,1,1,1
-2.31427,0.606102,2,2,2
-1.86212,0.568232,2,2,2
-1.49859,-1.8658,0,0,0
-2.04134,0.671036,2,2,2
-0.509048,-0.0751087,0,0,0
-2.04809,0.809569,2,2,2
-1.38136,1.0571,2,2,2
-2.86855,1.16378,2,2,2
-2.00008,1.03987,2,2,2
1.36059,-0.139279,0,1,1
0.087826,0.58359,0,0,0
1.02145,0.518451,1,1,1
-1.50224,2.68417,0,2,2
1.57716,0.314081,1,1,1
1.70561,0.956217,1,1,1
-2.88893,0.965044,2,2,2
-2.19623,1.59325,2,2,2
-1.22922,-1.71305,0,0,0
-2.24813,0.696113,2,2,2
1.16256,0.827134,0,1,1
-2.61815,1.21332,2,2,2
-0.141624,0.00138573,0,0,0
1.21258,0.481478,1,1,1
-3.11582,0.635654,2,2,2
-2.3047,1.92953,2,2,2
1.79099,0.921625,1,1,1
0.558778,1.17968,0,1,1
-1.64174,1.24924,2,2,2
-2.1545,0.727395,2,2,2
-1.69498,0.761477,0,2,2
-0.0477166,-1.92844,0,0,0
2.6601,0.875787,1,1,1
-0.873852,0.0321902,0,0,0
0.851765,0.87293,0,1,1
2.0658,1.29327,1,1,1
0.405283,-0.810964,0,0,0
1.92359,1.14191,1,1,1
2.12866,0.283008,1,1,1
-1.73695,0.882428,2,2,2
-2.08617,1.80231,2,2,2
-2.15949,0.645537,2,2,2
-2.31244,1.19676,2,2,2
1.62573,1.45339,1,1,1
-0.0455887,-0.0929075,0,0,0
-1.47206,1.19348,2,2,2
-0.808294,-0.530049,0,0,0
0.410116,0.418697,0,0,0
-1.64556,0.849025,2,2,2
-1.32255,0.591651,2,2,2
-0.679183,0.399517,0,0,0
-1.01017,-0.0176233,0,0,0
2.01018,1.98342,1,1,1
1.73776,1.19723,1,1,1
-0.681755,-1.9621,0,0,0
-1.70621,-0.000165462,2,2,2
-0.234046,-0.835738,0,0,0
1.22898,0.382607,0,1,1
2.30452,0.275057,1,1,1
-2.10648,0.487321,2,2,2
-2.02495,0.0434572,2,2,2
-2.1938,1.3792,2,2,2
-1.33505,1.32123,2,2,2
-2.00779,1.62527,2,2,2
0.541857,0.803586,0,0,0
0.112905,0.359263,0,0,0
2.7787,1.1117,1,1,1
1.27378,0.396284,0,1,1
0.300422,-0.957878,0,0,0
-2.37986,0.663984,2,2,2
1.78364,0.783059,1,1,1
0.753957,-0.755407,0,0,0
-2.13238,0.633361,2,2,2
-1.21993,1.31473,2,2,2
-0.429479,-0.730122,0,0,0
0.574439,1.03849,0,1,1
-2.34003,0.639688,2,2,2
-1.73428,1.19526,2,2,2
-2.14048,1.22624,2,2,2
0.213977,0.768055,0,0,0
-1.90007,0.956731,2,2,2
1.36684,0.707833,0,1,1
-2.21309,1.15734,2,2,2
-1.14501,0.551183,2,2,2
-2.87771,0.283063,2,2,2
2.17588,0.478042,1,1,1
0.333581,-1.51817,0,0,0
2.86902,0.570476,1,1,1
-2.67446,1.35273,2,2,2
1.74301,0.959359,1,1,1
2.12169,1.11828,1,1,1
-0.107111,-0.687516,0,0,0
-1.93429,1.13456,2,2,2
0.828667,-0.403663,0,0,0
-1.42164,1.08375,2,2,2
-2.06453,0.806297,2,2,2
2.04868,-0.0396782,1,1,1
-1.13914,0.318309,0,2,2
1.35837,0.737397,1,1,1
2.30606,0.604389,1,1,1
2.24565,1.33523,1,1,1
2.01444,0.729258,1,1,1
-1.59556,0.568628,2,2,2
0.851324,-0.678683,0,0,0
-1.57021,1.21355,2,2,2
-3.00597,0.957543,2,2,2
0.172597,0.975806,0,0,0
-2.92142,0.230117,2,2,2
-2.21687,1.18956,2,2,2
1.67931,1.24546,1,1,1
1.0186,0.73428,1,1,1
-1.64827,1.79928,2,2,2
0.816518,-0.525431,0,0,0
-2.59966,0.62477,2,2,2
-0.108772,-0.645954,0,0,0
-2.19628,1.27233,2,2,2
-1.72357,0.607014,2,2,2
-1.57522,1.22496,0,2,2
-2.28981,0.416465,2,2,2
-1.45811,1.08378,2,2,2
-2.98011,1.3742,2,2,2
1.2296,1.18812,1,1,1
-0.686713,-0.0267403,0,0,0
-2.55926,1.44323,2,2,2
-1.73148,1.03484,2,2,2
-2.05262,1.55052,2,2,2
-2.17301,-0.106312,2,2,2
-0.916067,0.93987,2,2,2
-1.3203,1.51653,2,2,2
2.09077,1.16477,1,1,1
3.01923,0.384838,1,1,1
-1.72211,0.381426,2,2,2
1.93637,0.708815,1,1,1
-1.74362,0.657617,2,2,2
-2.26405,-0.627097,2,2,2
-1.32301,1.03781,2,2,2
-2.75639,0.667145,2,2,2
-2.41021,1.49732,2,2,2
1.89613,0.859952,1,1,1
-1.59067,1.32812,2,2,2
2.01873,1.69243,1,1,1
-2.94333,0.400872,2,2,2
-3.08441,1.43778,2,2,2
1.59388,1.13963,1,1,1
2.3395,1.27097,1,1,1
-0.784861,0.138207,0,0,0
1.79087,0.836792,1,1,1
1.64408,-0.0502588,1,1,1
3.17562,0.813845,1,1,1
-2.06558,0.930161,2,2,2
0.296966,-0.270403,0,0,0
1.44796,0.971515,0,1,1
1.67128,1.46637,1,1,1
2.08099,0.788725,1,1,1
0.618146,0.33071,0,0,0
-2.25904,1.24446,2,2,2
-1.98512,1.62586,2,2,2
-1.41291,0.139327,2,2,2
2.01459,1.05898,1,1,1
2.91215,1.01312,1,1,1
-2.32225,1.36727,2,2,2
-1.77496,0.334708,0,2,2
-0.49545,0.771566,0,0,0
-2.1737,0.896071,2,2,2
-2.20119,0.569293,2,2,2
-2.04319,0.834317,2,2,2
2.55768,0.981386,1,1,1
-1.83469,1.7051,2,2,2
0.771236,1.63064,0,1,1
2.2212,1.46285,1,1,1
-1.5185,-1.18785,0,0,0
1.52538,0.837029,1,1,1
0.526956,-0.693146,0,0,0
0.972699,0.318648,0,1,1
2.16182,0.800024,1,1,1
1.44063,1.72793,1,1,1
1.54165,0.554991,1,1,1
-0.805205,0.728326,2,2,2
-0.818902,1.06019,0,2,2
-0.483675,0.632184,0,0,0
-2.38576,1.55905,2,2,2
-2.29519,0.378658,2,2,2
-2.39329,0.988536,2,2,2
0.596607,0.497716,0,0,0
1.26963,0.658838,1,1,1
-2.07835,0.297238,2,2,2
-1.78916,1.064,2,2,2
2.17328,0.573814,1,1,1
-1.47443,1.96188,2,2,2
-0.943148,0.179127,2,0,0
-1.66832,1.26504,2,2,2
-3.03583,0.478362,2,2,2
-1.68764,-0.619214,0,2,2
-0.251164,-0.885087,0,0,0
-1.83101,1.52399,2,2,2
-2.1162,1.60857,2,2,2
-1.01788,-0.479509,0,0,0
0.905458,-1.07569,0,0,0
-1.71581,1.1572,2,2,2
1.25326,1.16438,1,1,1
-1.92765,0.250693,2,2,2
-0.0633791,-1.28001,0,0,0
2.21641,0.697795,1,1,1
-2.10371,1.27355,2,2,2
0.0241897,0.0692336,0,0,0
-1.8232,0.794879,2,2,2
-1.86741,1.7819,2,2,2
-1.91993,1.68032,2,2,2
-0.976227,0.786561,0,2,2
-2.66823,0.904021,2,2,2
-0.459943,0.462425,0,0,0
2.24274,1.44792,1,1,1
1.66507,0.476873,1,1,1
-0.971403,0.42815,0,2,2
0.0941069,1.45865,0,1,1
-1.27177,1.08217,2,2,2
1.48688,1.48108,1,1,1
1.70991,0.72392,1,1,1
